Generation,currentBestInThisGen,currentAvgInThisGen,currentWorstInThisGen,currentAvgTreeDEpth,bestEverSoFarArr
100,2.306093378,8.390787117,19.52088796,5,3.16E-16
200,1.306879234,2.849933541,5.192943931,5,3.16E-16
300,1.403964744,1.877691285,2.708252614,5.166666667,3.16E-16
400,3.16E-16,1.283144426,1.743486163,5,3.16E-16
500,3.16E-16,1.16997062,1.403964744,5,3.16E-16
600,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
700,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
800,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
900,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1000,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1100,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1200,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1300,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1400,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1500,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1600,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1700,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1800,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
1900,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2000,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2100,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2200,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2300,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2400,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2500,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2600,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2700,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2800,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
2900,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3000,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3100,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3200,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3300,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3400,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3500,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3600,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3700,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3800,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
3900,3.16E-16,2.166666667,13,5.166666667,3.16E-16
4000,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
4100,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
4200,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
4300,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
4400,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
4500,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
4600,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
4700,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
4800,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
4900,3.16E-16,13.00985787,78.05914723,5.166666667,3.16E-16
5000,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
5100,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
5200,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
5300,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
5400,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
5500,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
5600,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
5700,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
5800,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
5900,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
6000,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
6100,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
6200,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
6300,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
6400,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
6500,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
6600,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
6700,3.16E-16,2,12,5.166666667,3.16E-16
6800,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
6900,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7000,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7100,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7200,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7300,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7400,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7500,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7600,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7700,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7800,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
7900,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
8000,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
8100,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
8200,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
8300,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
8400,3.16E-16,3.16E-16,3.16E-16,5,3.16E-16
